leftid,rightid,region,note
3736500,16621864,,
3486950,4700182,,
3712893,11543212,,
16795838,16795524,,
17015609,8790590,,
16972043,4507955,,
12199095,17435678,,
8349454,1591351,,
17096642,16751955,,
16340998,8007556,,
7313896,8135412,,
3622234,3420915,,
11525714,12805363,,
1980134,7982307,,
9787859,11941255,,
3991518,9747710,,
17732426,12989453,,incomplete
12740290,2432564,,
16283590,17588623,,not a great match
2910892,2885630,,
17736654,20911961,,
21133456,18341449,,
11717040,21590962,,
18106257,17031293,,
8398900,1869592,,
11717020,8954310,,not a great match
16851577,16950798,,
8723983,16115255,,
4663875,11271082,,
16444544,8981761,,
5778133,21590958,,
5712849,3166836,,
20981321,2878185,,
17933822,3163105,,
10961507,3232808,,
17468727,4127938,,
17360014,9698907,,
20812872,10739296,,
11717045,21590978,,
16014701,16574328,,
18695745,17587734,,
12736001,15155348,,
17736748,17639824,,
10358617,17298108,,left side incomplete
17732071,18909888,,left side severely damaged
17827011,17654973,,
8070872,12422147,,
20316708,19167389,,
16667306,16520950,,
11717035,21591317,,not a great match
17165429,9513911,,
4874953,5469039,,
2138427,5038703,,
5615961,5601924,,
11105182,10158972,,
7796832,9771412,A1,
17399735,7880001,A1,
4595609,19120853,A1,
9768166,9772513,A1,
986460,10110672,A1,
10110270,3786734,A1,
10290529,10273502,A1,
7790597,7746883,A1,
7801255,7628068,A1,
159280,6276557,A1,
162293,7577773,A1,
7763691,7694722,A1,
8031834,7686464,A1,
7764785,7732444,A1,
3040481,4049878,A1,
10179501,3091943,A1,
3041612,3074106,A1,
3034133,3282869,A1,
16232990,10515937,A1,
11455472,8257672,A1,
11207386,10891221,A1,
10929797,8198913,A1,
11207649,10891544,A1,
8152399,10860792,A1,
16311532,12529994,A1,
4524495,4101812,A1,
7792781,2777891,A1,
7783764,10053734,A1,
10492185,13124815,A1,
8419064,14493979,A1,
16311520,7636004,A1,
4050398,16042164,A1,
12140925,7019050,A1,
7924478,12787696,A1,
4113533,4936149,A1,
5084467,16226512,A1,
3995976,17872154,A1,
7769237,4219827,A1,
4123145,4038469,A1,
11106522,10312570,A1,
9544992,6811349,A1,
13004884,15199830,A1,
6578062,15233041,A1,
14046279,14046294,A1,
7992966,14858626,A1,
4071032,12953345,A1,
14866842,18145093,A1,
12820178,14866379,A1,
18769231,7855488,A1,
2798040,5057361,A1,
4715415,8371225,A1,
4778439,3546334,A1,
3546835,2637812,A1,
5904833,5297998,A1,
10089193,16257962,A1,
8215466,5392778,A1,
12704772,12683525,A1,
10273060,11982072,A1,
5309932,10855206,A1,
4302562,3180525,A1,
4728865,4541716,A1,
5772346,5185729,A1,
4740178,4833168,A1,
18418512,17435371,A1,incomplete
8235049,15264419,A1,
4542822,4478328,A1,
11208232,10907355,A1,
12039793,5452198,A1,
10152437,6896580,A1,
13331383,4725907,A1,
10949382,16945771,A1,
11024782,4228864,A1,
4555763,5108525,A1,
8421329,8039617,A1,
12809923,8234099,A1,
7876385,8198957,A1,
16337850,10017183,A1,
4975387,4839570,A1,
8057753,10949030,A1,
4060628,6755064,A1,
8059283,14913093,A1,
5343578,7184082,A1,
5358138,4978454,A1,
10220679,18468751,A1,
10054666,16330265,A1,
4081479,5336476,A1,
4538738,4729046,A1,
5132886,5997121,A1,
6330796,12244514,A1,
4928976,7823087,A1,
6299908,10247731,A1,
17269708,9747432,A1,
10021175,12292579,A1,
5078760,16690920,A1,incomplete
13258642,17071666,A1,
10219170,10499711,A1,
7934159,4124563,A1,
9976875,8257688,A1,
7862356,16014849,A1,
16278807,16014834,A1,
12705004,8899200,A1,
12809152,12873722,A1,
16066985,14046245,A1,
17904627,10015769,A1,
15504369,15504376,A1,
15571023,12944478,A1,
4213417,10004243,A1,
17114293,10017073,A1,
13095126,10492059,A1,
13671419,6195521,A1,
6207232,4096366,A1,
7782409,7683669,A1,
7195651,4824878,A1,
10804041,7683401,A1,
2123422,2784471,A1,
6263055,6412532,A1,
8196192,8095561,A1,
11466247,12990250,A1,
11928389,13775274,A1,
8095967,18120415,A1,
20901073,20901068,A1,axon split simplification
4028114,4535767,A1,
4326468,4881629,A1,
14085813,14047554,A1,
