,ipsi_rho,contra_rho,match_ratio,sim,method,n_side
533,0.8,0.2,0.4444444444444444,266,BGM,9
534,0.8,0.2,0.1111111111111111,267,GM,9
535,0.8,0.2,1.0,267,BGM,9
536,0.8,0.2,0.7777777777777778,268,GM,9
537,0.8,0.2,1.0,268,BGM,9
538,0.8,0.2,1.0,269,GM,9
539,0.8,0.2,1.0,269,BGM,9
540,0.8,0.2,0.5555555555555556,270,GM,9
541,0.8,0.2,0.7777777777777778,270,BGM,9
542,0.8,0.2,0.0,271,GM,9
543,0.8,0.2,0.0,271,BGM,9
544,0.8,0.2,0.4444444444444444,272,GM,9
545,0.8,0.2,0.7777777777777778,272,BGM,9
546,0.8,0.2,1.0,273,GM,9
547,0.8,0.2,1.0,273,BGM,9
548,0.8,0.2,1.0,274,GM,9
549,0.8,0.2,1.0,274,BGM,9
550,0.8,0.2,1.0,275,GM,9
551,0.8,0.2,0.0,275,BGM,9
552,0.8,0.2,0.3333333333333333,276,GM,9
553,0.8,0.2,0.1111111111111111,276,BGM,9
554,0.8,0.2,0.6666666666666666,277,GM,9
555,0.8,0.2,0.6666666666666666,277,BGM,9
556,0.8,0.2,0.1111111111111111,278,GM,9
557,0.8,0.2,0.1111111111111111,278,BGM,9
558,0.8,0.2,1.0,279,GM,9
559,0.8,0.2,1.0,279,BGM,9
560,0.8,0.2,1.0,280,GM,9
561,0.8,0.2,1.0,280,BGM,9
562,0.8,0.2,1.0,281,GM,9
563,0.8,0.2,1.0,281,BGM,9
564,0.8,0.2,0.6666666666666666,282,GM,9
565,0.8,0.2,0.5555555555555556,282,BGM,9
566,0.8,0.2,1.0,283,GM,9
567,0.8,0.2,1.0,283,BGM,9
568,0.8,0.2,0.6666666666666666,284,GM,9
569,0.8,0.2,0.0,284,BGM,9
570,0.8,0.2,1.0,285,GM,9
571,0.8,0.2,1.0,285,BGM,9
572,0.8,0.2,1.0,286,GM,9
573,0.8,0.2,0.7777777777777778,286,BGM,9
574,0.8,0.2,0.0,287,GM,9
575,0.8,0.2,1.0,287,BGM,9
576,0.8,0.2,0.4444444444444444,288,GM,9
577,0.8,0.2,1.0,288,BGM,9
578,0.8,0.2,0.1111111111111111,289,GM,9
579,0.8,0.2,1.0,289,BGM,9
580,0.8,0.2,1.0,290,GM,9
581,0.8,0.2,1.0,290,BGM,9
